n,sin(n),cos(n),tan(n),sin²(n),cot(n)
0,0,1,0,0,
10,0.17364817766693,0.984807753012208,0.176326980708465,0.0301536896070457,5.67128181961771
20,0.342020143325669,0.939692620785908,0.363970234266202,0.116977778440511,2.74747741945463
30,0.5,0.866025403784439,0.577350269189626,0.25,1.73205080756888
40,0.642787609686539,0.766044443118978,0.83909963117728,0.413175911166534,1.19175359259421
50,0.766044443118978,0.642787609686539,1.19175359259421,0.586824088833465,0.83909963117728
60,0.866025403784439,0.5,1.73205080756888,0.750000000000001,0.577350269189625
70,0.939692620785908,0.342020143325669,2.74747741945462,0.883022221559488,0.363970234266203
80,0.984807753012208,0.17364817766693,5.67128181961771,0.969846310392954,0.176326980708465
90,1,0.0000000000000000612323399573677,16331239353195400,1,0.0000000000000000612323399573675
100,0.984807753012208,-0.17364817766693,-5.67128181961771,0.969846310392954,-0.176326980708465
110,0.939692620785908,-0.342020143325669,-2.74747741945462,0.883022221559488,-0.363970234266203
120,0.866025403784439,-0.5,-1.73205080756888,0.750000000000001,-0.577350269189625
130,0.766044443118978,-0.642787609686539,-1.19175359259421,0.586824088833465,-0.83909963117728
140,0.642787609686539,-0.766044443118978,-0.83909963117728,0.413175911166534,-1.19175359259421
150,0.5,-0.866025403784439,-0.577350269189626,0.25,-1.73205080756888
160,0.342020143325669,-0.939692620785908,-0.363970234266203,0.116977778440511,-2.74747741945462
170,0.17364817766693,-0.984807753012208,-0.176326980708465,0.0301536896070457,-5.67128181961771
180,0.000000000000000122464679914735,-1,-0.000000000000000122464679914735,0.0000000000000000000000000000000149975978266185,-8165619676597710
190,-0.17364817766693,-0.984807753012208,0.176326980708465,0.0301536896070457,5.67128181961771
200,-0.342020143325669,-0.939692620785908,0.363970234266202,0.116977778440511,2.74747741945463
210,-0.5,-0.866025403784439,0.577350269189626,0.25,1.73205080756888
220,-0.642787609686539,-0.766044443118978,0.83909963117728,0.413175911166534,1.19175359259421
230,-0.766044443118978,-0.642787609686539,1.19175359259421,0.586824088833465,0.83909963117728
240,-0.866025403784438,-0.5,1.73205080756888,0.749999999999999,0.577350269189625
250,-0.939692620785908,-0.342020143325669,2.74747741945462,0.883022221559488,0.363970234266203
260,-0.984807753012208,-0.17364817766693,5.67128181961771,0.969846310392954,0.176326980708465
270,-1,-0.000000000000000183697019872103,5443746451065120,1,0.000000000000000183697019872103
280,-0.984807753012208,0.17364817766693,-5.67128181961772,0.969846310392954,-0.176326980708465
290,-0.939692620785908,0.342020143325669,-2.74747741945462,0.883022221559488,-0.363970234266203
300,-0.866025403784439,0.5,-1.73205080756888,0.750000000000001,-0.577350269189625
310,-0.766044443118978,0.642787609686539,-1.19175359259421,0.586824088833465,-0.83909963117728
320,-0.64278760968654,0.766044443118978,-0.83909963117728,0.413175911166536,-1.19175359259421
330,-0.5,0.866025403784438,-0.577350269189627,0.25,-1.73205080756887
340,-0.342020143325669,0.939692620785908,-0.363970234266202,0.116977778440511,-2.74747741945463
350,-0.17364817766693,0.984807753012208,-0.176326980708465,0.0301536896070457,-5.67128181961771
360,-0.000000000000000244929359829471,1,-0.000000000000000244929359829471,0.0000000000000000000000000000000599903913064745,-4082809838298840
